11,Actor Ryan Van Rooyen further remanded,sports,"<img src='https://adaderanaenglish.s3.amazonaws.com/1556791103-Ryan-Van-Rooyen-further-remanded-1.jpg' width='60' align='left' hspace='5'/>Actor Ryan Van Rooyen, who was arrested in Dubai along with drug kingpin Makandure Madush  and deported to Sri Lanka, has been remanded until 9th of May. MORE..","<img src='https://adaderanaenglish.s3.amazonaws.com/1556791103-Ryan-Van-Rooyen-further-remanded-1.jpg' width='60' align='left' hspace='5'/>Actor Ryan Van Rooyen, who was arrested in Dubai along with drug kingpin Makandure Madush  and deported to Sri Lanka, has been remanded until 9th of May. MORE..",http://www.adaderana.lk/news.php?nid=54837,"Thu, 02 May 2019 15:22:38 +0530"
12,Two arrested with 36 white female clothes stuffed in a sack,sports,<img src='https://adaderanaenglish.s3.amazonaws.com/1556791291-Two-arrested-with-36-white-female-clothes-stuffed-in-a-sack-1.jpg' width='60' align='left' hspace='5'/>Two suspects were arrested along with 36 sets of white female clothes stuffed in a fertilizer sack and hidden inside a van. MORE..,<img src='https://adaderanaenglish.s3.amazonaws.com/1556791291-Two-arrested-with-36-white-female-clothes-stuffed-in-a-sack-1.jpg' width='60' align='left' hspace='5'/>Two suspects were arrested along with 36 sets of white female clothes stuffed in a fertilizer sack and hidden inside a van. MORE..,http://www.adaderana.lk/news.php?nid=54836,"Thu, 02 May 2019 15:15:48 +0530"
13,Dubai court postpones decision on deporting Madush to SL,sports,<img src='https://adaderanaenglish.s3.amazonaws.com/1556790764-makandure-madush-0.jpg' width='60' align='left' hspace='5'/>A Dubai court has postponed its decision on whether to deport drug kingpin Makandure Madush  to Sri Lanka. MORE..,<img src='https://adaderanaenglish.s3.amazonaws.com/1556790764-makandure-madush-0.jpg' width='60' align='left' hspace='5'/>A Dubai court has postponed its decision on whether to deport drug kingpin Makandure Madush  to Sri Lanka. MORE..,http://www.adaderana.lk/news.php?nid=54835,"Thu, 02 May 2019 15:09:29 +0530"
14,Mechanical engineer arrested over links to terror acts,sports,<img src='https://adaderanaenglish.s3.amazonaws.com/1556790272-Mechanical-engineer-arrested-over-links-to-terror-activities-A.jpg' width='60' align='left' hspace='5'/>A person suspected to be connected to terror activities has been arrested by the Special Task Force (STF) at Kalmunakudi in Kalmunai. MORE..,<img src='https://adaderanaenglish.s3.amazonaws.com/1556790272-Mechanical-engineer-arrested-over-links-to-terror-activities-A.jpg' width='60' align='left' hspace='5'/>A person suspected to be connected to terror activities has been arrested by the Special Task Force (STF) at Kalmunakudi in Kalmunai. MORE..,http://www.adaderana.lk/news.php?nid=54834,"Thu, 02 May 2019 15:09:17 +0530"
15,Information sharing must be prioritised – TISL,sports,<img src='https://adaderanaenglish.s3.amazonaws.com/1556789883-transparency-international-sri-lanka-0.jpg' width='60' align='left' hspace='5'/>Transparency International Sri Lanka (TISL) today called on all stakeholders including the public to focus attention on resolving systemic deficiencies which allowed for the terror attacks to be carried out in the country.,<img src='https://adaderanaenglish.s3.amazonaws.com/1556789883-transparency-international-sri-lanka-0.jpg' width='60' align='left' hspace='5'/>Transparency International Sri Lanka (TISL) today called on all stakeholders including the public to focus attention on resolving systemic deficiencies which allowed for the terror attacks to be carried out in the country.,http://www.adaderana.lk/news.php?nid=54833,"Thu, 02 May 2019 15:08:04 +0530"
16,Unregistered drone camera found hidden in house,sports,"<img src='https://adaderanaenglish.s3.amazonaws.com/1556787664-Unregistered-drone-camera-found-hidden-in-house-A.jpg' width='60' align='left' hspace='5'/>A person has been arrested along with an unregistered drone camera hidden inside a house in Pudukudirippu, Mannar, stated the Mannar Police. MORE..","<img src='https://adaderanaenglish.s3.amazonaws.com/1556787664-Unregistered-drone-camera-found-hidden-in-house-A.jpg' width='60' align='left' hspace='5'/>A person has been arrested along with an unregistered drone camera hidden inside a house in Pudukudirippu, Mannar, stated the Mannar Police. MORE..",http://www.adaderana.lk/news.php?nid=54832,"Thu, 02 May 2019 14:24:04 +0530"
17,Churches urged to cancel services next Sunday,sports,<img src='https://adaderanaenglish.s3.amazonaws.com/1556785935-Churches-urged-to-cancel-services-next-Sunday-1.jpg' width='60' align='left' hspace='5'/>His Eminence Malcolm Cardinal Ranjith has requested the churches across the country not to conduct Masses next Sunday due to the prevailing security concerns. MORE..,<img src='https://adaderanaenglish.s3.amazonaws.com/1556785935-Churches-urged-to-cancel-services-next-Sunday-1.jpg' width='60' align='left' hspace='5'/>His Eminence Malcolm Cardinal Ranjith has requested the churches across the country not to conduct Masses next Sunday due to the prevailing security concerns. MORE..,http://www.adaderana.lk/news.php?nid=54831,"Thu, 02 May 2019 13:44:12 +0530"
18,89 detonators recovered from house in Pulmudai; two arrested,sports,"<img src='https://adaderanaenglish.s3.amazonaws.com/1556783908-89-detonators-recovered-from-house-in-Pulmudai-two-arrested-1.jpg' width='60' align='left' hspace='5'/>Two persons have been arrested along with 89 detonators, 08 tubes of water gel and 02 detonator chargers. MORE..","<img src='https://adaderanaenglish.s3.amazonaws.com/1556783908-89-detonators-recovered-from-house-in-Pulmudai-two-arrested-1.jpg' width='60' align='left' hspace='5'/>Two persons have been arrested along with 89 detonators, 08 tubes of water gel and 02 detonator chargers. MORE..",http://www.adaderana.lk/news.php?nid=54830,"Thu, 02 May 2019 13:28:29 +0530"
19,Special vehicle check in Vavuniya,sports,"<img src='https://adaderanaenglish.s3.amazonaws.com/1556783802-Special-vehicle-check-in-Vavuniya-A.jpg' width='60' align='left' hspace='5'/>A special search operation on vehicles will be conducted in Vavuniya based on the information received by the security forces, stated the Police. MORE..","<img src='https://adaderanaenglish.s3.amazonaws.com/1556783802-Special-vehicle-check-in-Vavuniya-A.jpg' width='60' align='left' hspace='5'/>A special search operation on vehicles will be conducted in Vavuniya based on the information received by the security forces, stated the Police. MORE..",http://www.adaderana.lk/news.php?nid=54829,"Thu, 02 May 2019 13:26:43 +0530"
20,Person arrested with military uniform and other equipment,sports,"<img src='https://adaderanaenglish.s3.amazonaws.com/1556780733-Person-arrested-with-military-uniform-and-other-equipment-1.jpg' width='60' align='left' hspace='5'/>A 40-year-old, who was in possession of an Army uniform, military boots, several wire rolls used to manufacture explosives and equipment similar to a transmitter, has been arrested at Kovilkulam in Vavuniya this morning (02). MORE..","<img src='https://adaderanaenglish.s3.amazonaws.com/1556780733-Person-arrested-with-military-uniform-and-other-equipment-1.jpg' width='60' align='left' hspace='5'/>A 40-year-old, who was in possession of an Army uniform, military boots, several wire rolls used to manufacture explosives and equipment similar to a transmitter, has been arrested at Kovilkulam in Vavuniya this morning (02). MORE..",http://www.adaderana.lk/news.php?nid=54828,"Thu, 02 May 2019 12:35:34 +0530"
